SN,Pradesh_No,Pradesh Name,Office Type,Office Name,Employee Type,ID Range Start,ID Range End,ID Used Upto
1,1,Koshi,DCS Office,Biratnagar RO,Karar,71000001,71000100,NULL
2,1,Koshi,DCS Office,Biratnagar RO,Myadi,61000001,61000100,NULL
3,1,Koshi,DCS Office,Biratnagar RO,Jyaladari,51000001,51000200,51000004
4,1,Koshi,DCS Office,Taplegunj DCS,Karar,71000101,71000200,NULL
5,1,Koshi,DCS Office,Taplegunj DCS,Myadi,61000101,61000200,NULL
6,1,Koshi,DCS Office,Taplegunj DCS,Jyaladari,51000201,51000400,51000224
7,1,Koshi,DCS Office,Panchthar DCS,Karar,71000201,71000300,NULL
8,1,Koshi,DCS Office,Panchthar DCS,Myadi,61000201,61000300,NULL
9,1,Koshi,DCS Office,Panchthar DCS,Jyaladari,51000401,51000600,NULL
10,1,Koshi,DCS Office,Ilam DCS,Karar,71000301,71000400,NULL
11,1,Koshi,DCS Office,Ilam DCS,Myadi,61000301,61000400,NULL
12,1,Koshi,DCS Office,Ilam DCS,Jyaladari,51000601,51000800,51000633
13,1,Koshi,DCS Office,Fickel SDC,Karar,71000401,71000500,NULL
14,1,Koshi,DCS Office,Fickel SDC,Myadi,61000401,61000500,NULL
15,1,Koshi,DCS Office,Fickel SDC,Jyaladari,51000801,51001000,NULL
16,1,Koshi,DCS Office,Pashupatinagar SDC,Karar,71000501,71000600,NULL
17,1,Koshi,DCS Office,Pashupatinagar SDC,Myadi,61000501,61000600,NULL
18,1,Koshi,DCS Office,Pashupatinagar SDC,Jyaladari,51001001,51001200,NULL
19,1,Koshi,DCS Office,Khadbari DCS,Karar,71000601,71000700,NULL
20,1,Koshi,DCS Office,Khadbari DCS,Myadi,61000601,61000700,NULL
21,1,Koshi,DCS Office,Khadbari DCS,Jyaladari,51001201,51001400,51001231
22,1,Koshi,DCS Office,Chainour SDC,Karar,71000701,71000800,NULL
23,1,Koshi,DCS Office,Chainour SDC,Myadi,61000701,61000800,NULL
24,1,Koshi,DCS Office,Chainour SDC,Jyaladari,51001401,51001600,NULL
25,1,Koshi,DCS Office,Tumlingtar SDC,Karar,71000801,71000900,NULL
26,1,Koshi,DCS Office,Tumlingtar SDC,Myadi,61000801,61000900,NULL
27,1,Koshi,DCS Office,Tumlingtar SDC,Jyaladari,51001601,51001800,NULL
28,1,Koshi,DCS Office,Mudhe SDC,Karar,71000901,71001000,NULL
29,1,Koshi,DCS Office,Mudhe SDC,Myadi,61000901,61001000,NULL
30,1,Koshi,DCS Office,Mudhe SDC,Jyaladari,51001801,51002000,NULL
31,1,Koshi,DCS Office,Terhathum DCS,Karar,71001001,71001100,NULL
32,1,Koshi,DCS Office,Terhathum DCS,Myadi,61001001,61001100,61001001
33,1,Koshi,DCS Office,Terhathum DCS,Jyaladari,51002001,51002200,51002033
34,1,Koshi,DCS Office,Dhankuta DCS,Karar,71001101,71001200,NULL
35,1,Koshi,DCS Office,Dhankuta DCS,Myadi,61001101,61001200,NULL
36,1,Koshi,DCS Office,Dhankuta DCS,Jyaladari,51002201,51002400,51002223
37,1,Koshi,DCS Office,Bhojpur DCS,Karar,71001201,71001300,NULL
38,1,Koshi,DCS Office,Bhojpur DCS,Myadi,61001201,61001300,NULL
39,1,Koshi,DCS Office,Bhojpur DCS,Jyaladari,51002401,51002600,51002431
40,1,Koshi,DCS Office,Diktel DCS,Karar,71001301,71001400,NULL
41,1,Koshi,DCS Office,Diktel DCS,Myadi,61001301,61001400,NULL
42,1,Koshi,DCS Office,Diktel DCS,Jyaladari,51002601,51002800,51002637
43,1,Koshi,DCS Office,Solukhumbu DCS,Karar,71001401,71001500,NULL
