on_id,pn_id,office_name
,1,Biratnagar Regional Office
,1,Taplegunj DCS
,1,Panchthar DCS
,1,Ilam DCS
,1,Fickel SDC
,1,Pashupatinagar SDC
,1,Khadbari DCS
,1,Chainour SDC
,1,Tumlingtar SDC
,1,Mudhe SDC
,1,Terhathum DCS
,1,Dhankuta DCS
,1,Bhojpur DCS
,1,Diktel DCS
,1,Solukhumbu DCS
,1,Okhaldhunga DCS
,1,Udaypur DCS
,1,BelTar SDC
,1,Katari SDC
,1,Dhulabari DCS
,1,Budhabare SDC
,1,Bhadrapur DCS
,1,Anarmani DCS
,1,Sanischare SDC
,1,Surunga SDC
,1,Damak DCS
,1,Gauradah DCS
,1,Rangeli DCS
,1,Urlabari DCS
,1,Belbari DCS
,1,Biratnagar DCS
,1,Rani SDC
,1,Duhabi DCS
,1,Inaruwa DCS
,1,Itahari DCS
,1,Dharan DCS
,2,Janakpur RO
,2,Kanchanpur DCS
,2,Rajbiraj DCS
,2,Hanuman Nagar SDC
,2,Bodebarsain DCS
,2,Lahan DCS
,2,Mirchaiya DCS
,2,Siraha DCS
,2,Yedukuwa DCS
,2,Janakpur DCS
,2,DhanushaDham DCS
,2,Sakhuwa DCS
,2,Gaushala DCS
,2,Bardibash SDC
,2,Jalaeshor DCS
,2,Barahthawa DCS
,2,Malangwa DCS
,2,Lalbandi DCS
,2,Chandranigapur DCS
,2,Maulapur DCS
,2,Gaur DCS
,2,Simrongadh DCS
,2,Kalaiya DCS
,2,Birgunj DCS
,2,Pokhariya DCS
,2,Simara DCS
,2,Nijgadh SDC
,3,kathmandu RO
,3,Dolakah DCS
,3,Jiri SDC
,3,Mainapokhari SDC
,3,Kharidhunga SDC
,3,Rameschap DCS(Manthali)
,3,Ramechap SDC
,3,Panchkhal DCS
,3,Kavre DCs
,3,Panauti SDC
,3,Sindhupalchowk DCS
,3,Barhbise SDC
,3,Chautara SDC
,3,Melamchi DCS
,3,Dhunche DCS
,3,Nuwakot DCS
,3,Dhading DCS
,3,gajuri SDC
,3,Dharke SDC
,3,Bhaktapur DCS
,3,Thimi DCS
,3,Lagankhel DCS
,3,Chapagaun SDC
,3,Lubhu SDC
,3,Badegaun SDC
,3,Pulchwk DCS
,3,Ratnapark DCS
,3,Naxal SDC
,3,Kuleshor DCS
,3,Kirtipur DCs
,3,Balaju DCS
,3,Maharajgunj DCS
,3,Budhnilkanth SDC
,3,Jorpati DCS
,3,Sakhu SDC
,3,Baneshor DCS
,3,Chabahil SDC
,3,Hetauda Division Office
,3,Sindhuli DCS
,3,Bhiman SDC
,3,Bharatpur DCS
,3,Chanauli DCS
,3,Tandi DCS
,3,Hetauda DCS
,3,Palung DCS
,4,Gandaki RO
,4,Arughat DCs
,4,Gorkha DCS
,4,Majhuwa SDC
,4,Lumjung DCS
,4,Tanahu DCS
,4,Dumre SDC
,4,Anbu SDC
,4,Lekhanath DCS
,4,Pokhara DCS
,4,Gramin SDC
,4,Parbat DCS
,4,Synjgya DCS
,4,Mirmi SDC
,4,Myagdi DCS
,4,Tatopani DCS
,4,Manag DCS
,4,Baglung DCS
,4,Kawasoti DCS
,4,Gaidakot SDC
,5,Butwal RO
,5,Parasi DCS
,5,Bardaghat DCS
,5,Triveni SDC
,5,Surajoura SDC
,5,Bhairahawa DCS
,5,Amuwa DCS
,5,Lumbini SDC
,5,Nayamill DCS
,5,Butwal DCS
,5,Taulihawa DCS
,5,Krishna nagar DCS
,5,Palpa DCS
,5,Arghakhachi DCS
,5,Gulmi DCS
,5,Ridi SDC
,5,Rukum EAST DCS
,5,Rolpa DCS
,5,Pyuthan DCS
,5,Ghorahi DCS
,5,Lamahi DCS
,5,Tulsipur DCS
,5,Kohalpur DCS
,5,Nepalgunj DCS
,5,Gulariya DCS
,5,Rajapur DCS
,5,Basghadi SDC
,5,Bhurigaun SDC
,6,Surkhet RO
,6,Rukum WEST DCS
,6,Salyan DCS
,6,Dolpa DCS
,6,Gumgadh DCS
,6,Heldung DCS
,6,Kalikot DCS
,6,Jumla DCS
,6,Jajarkot DCS
,6,Dailekh DCS
,6,Surkhet DCS
,6,Jahare SDC
,7,DCS Office
,7,Attariya RO
,7,ALREADY ASSIGNED TO P6
,7,ALREADY ASSIGNED TO P6
,7,Bajura DCS
,7,Bajhang DCS
,7,Doti DCS
,7,Silgadhi SDC
,7,Achham DCS
,7,Mangalsen SDC
,7,Darchula DCS
,7,Baitadi DCS
,7,Patan SDC
,7,Dadeldhura DCS
,7,Jogbudha DCS
,7,Mahendranagar DCS
,7,Belauri DCS
,7,Dhangadhi DCS
,7,Attarira SDC
,7,Bhajani DCS
,7,Tikapur DCS
,7,Lamki SDC
