Pradesh_No,Pradesh Name,Office Type,Office Name,Employee Type,ID Range Start,ID Range End
3,Bagmati,DCS Office,kathmandu RO,Karar,73000001,73000100
3,Bagmati,DCS Office,kathmandu RO,Myadi,63000001,63000100
3,Bagmati,DCS Office,kathmandu RO,Jyaladari,53000001,53000200
3,Bagmati,DCS Office,Dolakah DCS,Karar,73000101,73000200
3,Bagmati,DCS Office,Dolakah DCS,Myadi,63000101,63000200
3,Bagmati,DCS Office,Dolakah DCS,Jyaladari,53000201,53000400
3,Bagmati,DCS Office,Jiri SDC,Karar,73000201,73000300
3,Bagmati,DCS Office,Jiri SDC,Myadi,63000201,63000300
3,Bagmati,DCS Office,Jiri SDC,Jyaladari,53000401,53000600
3,Bagmati,DCS Office,Mainapokhari SDC,Karar,73000301,73000400
3,Bagmati,DCS Office,Mainapokhari SDC,Myadi,63000301,63000400
3,Bagmati,DCS Office,Mainapokhari SDC,Jyaladari,53000601,53000800
3,Bagmati,DCS Office,Kharidhunga SDC,Karar,73000401,73000500
3,Bagmati,DCS Office,Kharidhunga SDC,Myadi,63000401,63000500
3,Bagmati,DCS Office,Kharidhunga SDC,Jyaladari,53000801,53001000
3,Bagmati,DCS Office,Rameschap DCS(Manthali),Karar,73000501,73000600
3,Bagmati,DCS Office,Rameschap DCS(Manthali),Myadi,63000501,63000600
3,Bagmati,DCS Office,Rameschap DCS(Manthali),Jyaladari,53001001,53001200
3,Bagmati,DCS Office,Ramechap SDC,Karar,73000601,73000700
3,Bagmati,DCS Office,Ramechap SDC,Myadi,63000601,63000700
3,Bagmati,DCS Office,Ramechap SDC,Jyaladari,53001201,53001400
3,Bagmati,DCS Office,Panchkhal DCS,Karar,73000701,73000800
3,Bagmati,DCS Office,Panchkhal DCS,Myadi,63000701,63000800
3,Bagmati,DCS Office,Panchkhal DCS,Jyaladari,53001401,53001600
3,Bagmati,DCS Office,Kavre DCs,Karar,73000801,73000900
3,Bagmati,DCS Office,Kavre DCs,Myadi,63000801,63000900
3,Bagmati,DCS Office,Kavre DCs,Jyaladari,53001601,53001800
3,Bagmati,DCS Office,Panauti SDC,Karar,73000901,73001000
3,Bagmati,DCS Office,Panauti SDC,Myadi,63000901,63001000
3,Bagmati,DCS Office,Panauti SDC,Jyaladari,53001801,53002000
3,Bagmati,DCS Office,Sindhupalchowk DCS,Karar,73001001,73001100
