kathmandu RO
Dolakah DCS
Jiri SDC
Mainapokhari SDC
Kharidhunga SDC
Rameschap DCS(Manthali)
Ramechap SDC
Panchkhal DCS
Kavre DCs
Panauti SDC
Sindhupalchowk DCS
Barhbise SDC
Chautara SDC
Melamchi DCS
Dhunche DCS
Nuwakot DCS
Dhading DCS
gajuri SDC
Dharke SDC
Bhaktapur DCS
Thimi DCS
Lagankhel DCS
Chapagaun SDC
Lubhu SDC
Badegaun SDC
Pulchwk DCS
Ratnapark DCS
Naxal SDC
Kuleshor DCS
Kirtipur DCs
Balaju DCS
Maharajgunj DCS
Budhnilkanth SDC
Jorpati DCS
Sakhu SDC
Baneshor DCS
Chabahil SDC
Hetauda Division Office
Sindhuli DCS
Bhiman SDC
Bharatpur DCS
Chanauli DCS
Tandi DCS
Hetauda DCS
Palung DCS
